# z  x_e  x_H  x_He  Tmat
  9200.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.250727250000000022E+05
  9190.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.250454750000000022E+05
  9180.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.250182250000000022E+05
  9170.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.249909750000000022E+05
  9160.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.249637250000000022E+05
  9150.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.249364750000000022E+05
  9140.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.249092250000000022E+05
  9130.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.248819750000000022E+05
  9120.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.248547250000000022E+05
  9110.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.248274750000000022E+05
  9100.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.248002250000000022E+05
  9090.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.247729750000000022E+05
  9080.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.247457250000000022E+05
  9070.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.247184750000000022E+05
  9060.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.246912250000000022E+05
  9050.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.246639750000000022E+05
  9040.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.246367250000000022E+05
  9030.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.246094750000000022E+05
  9020.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.245822250000000022E+05
