# z    h0he0    h0he1    h0he2    h0he3    h0he4    h0he5    h0he6    h1he0    h1he1    h1he2    h1he3    h1he4    h1he5    h1he6
9.770000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.760000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.750000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.740000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.730000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.720000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.710000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.700000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.690000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.680000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.670000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.660000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.650000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
