# z    he0    he1    he2    he3    he4    he5    he6
9.550000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.540000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.530000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.520000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.510000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.500000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.490000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.480000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.470000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.460000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.450000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.440000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.430000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.420000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.410000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.400000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.390000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.380000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.370000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.360000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.350000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.340000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.330000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.320000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.310000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.300000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.290000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.280000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.270000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.260000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.250000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.240000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.230000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.220000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.210000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.200000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.190000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.180000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.170000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.160000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.150000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.140000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.130000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.120000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.110000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.100000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.090000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.080000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.070000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.060000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.050000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.040000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.030000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.020000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.010000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.000000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.990000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.980000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.970000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.960000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.950000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.940000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.930000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.920000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.910000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.900000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.890000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.880000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.870000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.860000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.850000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.840000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.830000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.820000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.810000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.800000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.790000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
